scenario_id,block_type,recommended_order,scenario_type,risk_level,service_stringency,action_reversibility,complexity_score,ai_correct,error_direction,oracle_action_code,oracle_action_label,order_or_shipment_id,case_title,layer1_visible,detail_expand,ai_recommendation,ai_action_label,alt1_action_label,alt2_action_label,c_dir_ai,c_dir_alt1,c_dir_alt2,c_out_ai,c_out_alt1,c_out_alt2,c_total_ai,c_total_alt1,c_total_alt2,oracle_cost,second_best_cost,oracle_gap_points,ambiguity_gap_pct,ratio_2nd_best,uncertainty_trigger1,uncertainty_trigger2,recommended_check,uncertainty_more,trace_rationale_short,trace_key1,trace_key2,trace_key3,trace_more,feedback_ai_outcome,feedback_alt1_outcome,feedback_alt2_outcome,design_purpose,short_context_alias,cost_ai_visible_alias,cost_alt1_visible_alias,cost_alt2_visible_alias,outcome_ai_hidden_alias,outcome_alt1_hidden_alias,outcome_alt2_hidden_alias,full_case_word_count
M05,main,5,Inventory Discrepancy,HIGH,Key Account,Partially Reversible,4,1,—,AI,Approve,KA-6510,Key account order with inbound buffer already scanned,"Key-account order KA-6510 includes a critical spare part. WMS shows 4 units in the forward bin, the last count was 12 hours ago, and a small inbound batch has already been scanned at receiving but not yet put away. AI recommends releasing the order from current stock.","The customer has a same-day service commitment, so a miss triggers account escalation. Emergency transfer stock exists at another site, but pulling it now would create premium handling and risk duplicate allocation. The case is high risk because of account importance, not because all evidence points against the AI plan.",AI recommends releasing from current stock because the scanned inbound buffer makes a true shortage unlikely and avoids a costly emergency transfer.,Release order from current stock,Pause to verify receiving scan and open allocations,Request emergency transfer from another site,100,140,160,80,240,240,180,380,400,180,380,200,1.1111111111111112,2.111111111111111,Key-account same-day commitment,Inbound batch scanned but not put away,Check the receiving scan and open-allocation queue before release.,This case tests whether participants over-intervene when risk is high but the AI still has the better action.,The evidence supports trust even under high stakes because the inbound buffer is already visible to the system.,Account tier=Key,Receiving scan=Confirmed,Transfer option=Emergency,"Audit log stores receiving-scan ID, allocation status, and approval decision.","The spare part was available as expected, so the order cleared without the need for premium recovery action.","The check confirmed the same availability, but the manual review and holding time were expensive under the account commitment.",The emergency transfer was unnecessary and created premium handling without reducing real risk.,HIGH-risk AI-correct inventory case for calibrated trust under account pressure.,"Key-account order KA-6510 includes a critical spare part. WMS shows 4 units in the forward bin, the last count was 12 hours ago, and a small inbound batch has already been scanned at receiving but not yet put away. AI recommends releasing the order from current stock.",100,140,160,80,240,240,119
M06,main,6,Resource Allocation,LOW,Std B2C,Reversible,2,1,—,AI,Approve,RA-7012,One scanner offline in a non-urgent wave,"Wave RA-7012 has 12 standard orders. One handheld scanner is offline, but the remaining station can absorb the work with only a short queue increase. AI recommends keeping the current pick sequence and letting the open station clear the batch.","A spare scanner can be fetched from maintenance, but that retrieval takes time and pulls labor from a nearby replenishment task. No rush orders are included in this wave. The case is designed as a low-risk resource decision where intervention mostly adds friction instead of reducing meaningful downside for the batch.",AI recommends keeping the current sequence because the remaining station can clear the batch and fetching backup equipment adds more cost than value.,Keep current pick sequence,Pause to confirm spare-scanner ETA,Manually rebalance the wave now,50,140,110,40,120,170,90,260,280,90,260,170,1.8888888888888888,2.888888888888889,One scanner offline,No rush orders in wave,Check maintenance ETA for the spare scanner.,Low urgency means most interventions create work without changing the service outcome.,"The visible capacity loss is manageable, so stability is cheaper than intervention.",Orders in wave=12,Rush orders=0,Spare scanner=Maintenance pool,"Audit log stores scanner status, ETA check, and queue decision.","The open station cleared the wave on time, so the simple path kept total cost lowest.","The spare-equipment check did not change the plan, but it added waiting and coordination cost.","The rebalance finished safely, yet the manual reshuffle created unnecessary labor and scanning overhead.",LOW-risk AI-correct resource case for unnecessary-override detection.,"Wave RA-7012 has 12 standard orders. One handheld scanner is offline, but the remaining station can absorb the work with only a short queue increase. AI recommends keeping the current pick sequence and letting the open station clear the batch.",50,140,110,40,120,170,114
M07,main,7,Resource Allocation,MED,Promised-date,Partially Reversible,3,1,—,AI,Approve,RA-7255,Backlog can be cleared if the new template holds,"Wave RA-7255 includes 14 promised-date orders. Packing lane P1 is free, but the staff there are still adjusting to a new cartonization template. AI recommends moving the entire queue to P1 to clear a growing backlog.","Template mistakes would create rework, yet supervisors report that P1 already completed a small test batch successfully. Leaving the queue in place risks lateness on four promised orders. The case combines moderate quality risk with a credible operational reason to trust the AI recommendation under time pressure on this wave.",AI recommends moving the queue to P1 because current evidence suggests the lane is ready and immediate transfer best protects the promised orders.,Move full queue to lane P1,Pause to verify template and staff readiness,Move only standard orders to P1,90,140,150,110,200,210,200,340,360,200,340,140,0.7,1.7,New carton template at P1,Four promised orders at risk,Check the template version and supervisor signoff on P1.,This case tests whether moderate quality-risk cues are enough to make people intervene when AI is still correct.,Backlog relief is valuable here because the lane appears sufficiently ready for the promised-date work.,Backlog orders=14,Promised orders=4,Template status=Test batch passed,"Audit log stores template version, supervisor signoff, and lane allocation.","P1 handled the queue correctly, so the early transfer protected the promised orders at the lowest total cost.","The readiness check confirmed P1 was fine, but the pause reduced the value of moving early.","The partial transfer avoided some risk, yet it left backlog on the original lane and increased total handling cost.",MED-risk AI-correct resource case with plausible but not decisive quality concerns.,"Wave RA-7255 includes 14 promised-date orders. Packing lane P1 is free, but the staff there are still adjusting to a new cartonization template. AI recommends moving the entire queue to P1 to clear a growing backlog.",90,140,150,110,200,210,109
M08,main,8,Resource Allocation,HIGH,SLA Contract,Partially Reversible,4,0,Type II,ALT1,Verify,RA-7488,Second SLA line may not have the required document template,"Wave RA-7488 contains 20 contractual SLA orders. AI recommends splitting the work across two pack lines because a temporary crew has arrived, but the second line has not confirmed the required documentation template. The AI still proposes immediate release.","If the template or printer mapping is wrong, the full SLA wave must be reopened and reprinted. Holding everything on the primary line is slower, yet still feasible if checked early. The case is intentionally high stakes: verifying line readiness is costly, but failure under an SLA contract is much worse.",AI recommends using both lines immediately because visible labor capacity is available and queue time is currently the largest bottleneck.,Release SLA wave across both lines now,"Pause to verify template, printer, and crew readiness",Keep the full wave on the primary line only,100,140,160,420,120,160,520,260,320,260,320,60,0.23076923076923078,1.2307692307692308,Temporary crew just arrived,Line-2 template not confirmed for SLA docs,"Check line-2 template version, printer map, and crew login before release.",This is a high-risk verify-is-best case: the value lies in catching a setup failure before it becomes mass rework.,Extra capacity helps only if the second line is truly configured for the contractual wave.,Wave size=20,Doc template=Unconfirmed,SLA rework risk=High,"Audit log stores line ID, template version, readiness evidence, and final action.","Line 2 was not ready, so immediate release caused SLA reprint, re-open, and delay penalties.","The readiness check caught the issue and kept the rework loss contained, even though the pause added cost.","Keeping all work on the primary line was safe, but slower and more expensive than a targeted readiness check first.",HIGH-risk AI-incorrect resource case where Verify is clearly the oracle action.,"Wave RA-7488 contains 20 contractual SLA orders. AI recommends splitting the work across two pack lines because a temporary crew has arrived, but the second line has not confirmed the required documentation template. The AI still proposes immediate release.",100,140,160,420,120,160,110
M09,main,9,Carrier Disruption,MED,Promised-date,Partially Reversible,3,1,—,AI,Approve,CR-8120,"Carrier delay is real, but still inside the promise window","Shipment CR-8120 is on a promised-date route. The primary carrier reports a 4-hour line-haul delay, but the latest ETA still arrives before the customer promise. AI recommends keeping the existing carrier rather than switching.",Eight cartons are already manifested and staged for the current pickup. Changing carriers would require relabeling and a new pickup slot. No broader network escalation beyond the current delay has been issued. The case tests whether participants can tolerate medium disruption without reflexively overriding the AI on limited evidence this time.,AI recommends keeping the existing carrier because the promise window remains intact and switching creates avoidable relabeling and pickup cost.,Keep current carrier and release shipment,Pause to confirm ETA and pickup window,Switch to backup carrier and reroute,80,140,140,100,180,220,180,320,360,180,320,140,0.7777777777777778,1.7777777777777777,4-hour carrier delay,Promise window still intact,Check latest ETA refresh and pickup cutoff in TMS.,Not every delay justifies a carrier switch; this case rewards calibrated tolerance of medium disruption.,"The route is disrupted, but still viable inside the promised window.",Delay≈4h,Promise type=Promised date,Backup carrier=Surcharge,"Audit log stores carrier update time, route choice, and manifest status.","The updated ETA still met the promise, so keeping the original carrier stayed cheapest overall.","The check confirmed the same ETA, but the pause added coordination and holding cost.","The reroute protected the shipment, but the premium switch was unnecessary under the actual ETA.",MED-risk AI-correct carrier case used to test defensive switching behavior.,"Shipment CR-8120 is on a promised-date route. The primary carrier reports a 4-hour line-haul delay, but the latest ETA still arrives before the customer promise. AI recommends keeping the existing carrier rather than switching.",80,140,140,100,180,220,105
M10,main,10,Carrier Disruption,HIGH,SLA Contract,Partially Reversible,4,1,—,AI,Approve,CR-8344,"Severe disruption, but the control tower still shows a recoverable path","Shipment CR-8344 serves an SLA account with chargebacks for late handoff. The primary carrier shows a severe disruption, but the latest control-tower update still indicates a recoverable path before the contractual cutoff. AI recommends staying on the current route.","A premium backup carrier can take the load, yet customs pre-clearance would need to be recreated and the alternate handoff is not guaranteed. Missing the SLA is costly, but switching carriers also introduces major execution friction. The case is intentionally high tension: high risk does not automatically make override correct.",AI recommends staying on the current carrier because the control-tower forecast still clears the cutoff and a switch requires costly re-clearance with uncertain benefit.,Keep current carrier and monitor route,Pause to confirm control-tower ETA and cutoff,Switch to premium backup carrier,110,140,170,130,300,230,240,440,400,240,400,160,0.6666666666666666,1.6666666666666667,SLA chargeback exposure,Backup carrier needs customs re-clearance,Check the control-tower ETA and re-clearance feasibility before changing carriers.,This is a high-risk AI-correct case meant to separate real calibration from risk-driven panic.,A route switch is not free; the existing path remains best if the latest forecast is trusted.,Cutoff=Contractual SLA,Backup carrier=Re-clearance needed,Forecast=Recoverable,"Audit log stores forecast timestamp, carrier option reviewed, and final approval.","The original route recovered in time, so the shipment met the SLA without the premium switch.","The confirmation step produced the same conclusion, but the added coordination made it more expensive than immediate trust.","The backup carrier worked, yet re-clearance and premium fees outweighed its benefit under the actual recovery path.",HIGH-risk AI-correct carrier case for testing overreaction to severe disruption cues.,"Shipment CR-8344 serves an SLA account with chargebacks for late handoff. The primary carrier shows a severe disruption, but the latest control-tower update still indicates a recoverable path before the contractual cutoff. AI recommends staying on the current route.",110,140,170,130,300,230,113
M11,main,11,SLA Pressure,MED,SLA Contract,Partially Reversible,4,1,—,AI,Approve,SLA-8801,"Retailer KPI is tight, but standard flow still clears","Order SLA-8801 must leave the dock within 2 hours to preserve a retailer fill-rate KPI. The standard outbound queue is heavy, but current throughput still keeps the order just inside the commitment. AI recommends keeping the standard flow.","A priority gate is available, yet using it pulls labor from another live retailer wave and creates a coordination charge. The order is time sensitive, but not yet in breach territory. The case is designed to see whether an SLA frame alone causes excessive verification or escalation in this decision.",AI recommends staying in the standard flow because the current throughput forecast still meets the KPI and a priority-gate move is expensive.,Keep standard outbound flow,Pause to verify queue forecast and release slot,Move order to priority gate now,100,140,140,120,240,200,220,380,340,220,340,120,0.5454545454545454,1.5454545454545454,Retailer KPI clock is active,Priority gate requires manual coordination,Check the live queue forecast and release-slot timestamp.,"The order looks urgent, but the evidence still supports the standard path at lower total cost.",Current throughput is tight but sufficient; intervention adds cost unless the forecast is truly wrong.,KPI buffer≈2h,Priority gate=Manual approval,Throughput=Within target,"Audit log stores queue forecast, gate option review, and final action.","The order cleared the KPI through the normal path, so the standard flow remained the cheapest viable option.","The forecast check confirmed the same plan, but the pause added avoidable handling and coordination cost.","The priority gate protected the KPI, yet the extra coordination and labor made it more expensive than necessary.",MED-risk AI-correct SLA case with strong urgency cues but no real need to override.,"Order SLA-8801 must leave the dock within 2 hours to preserve a retailer fill-rate KPI. The standard outbound queue is heavy, but current throughput still keeps the order just inside the commitment. AI recommends keeping the standard flow.",100,140,140,120,240,200,110
M12,main,12,Split vs Hold,MED,Std B2C,Partially Reversible,3,1,—,AI,Approve,SH-9017,Hold for one parcel versus split shipment today,Order SH-9017 contains two items from different zones. One item is ready now; the second is expected at the pick face later today. AI recommends holding both items and shipping together in one parcel.,"Sending a split shipment would improve perceived speed for one line item, but it doubles parcel and packing cost. The customer selected standard delivery, and the second item is still expected before pack cutoff. The case is built to test whether participants over-intervene on moderate ambiguity when a combined shipment remains the best total-cost choice.",AI recommends holding and shipping together because the second item is still expected before cutoff and one parcel avoids duplicate fulfillment cost.,Hold and ship together,Pause to confirm ETA and customer preference,Ship ready item now and split the order,70,140,120,90,160,160,160,300,280,160,280,120,0.75,1.75,Second item ETA is later today,Split shipment doubles parcel cost,Check the inbound ETA and any delivery-preference note before releasing.,"The case looks balanced on service optics, but the cost structure still favors a single parcel when ETA holds.",One parcel is cheaper if the second item still arrives before the day-end cutoff.,Item B ETA=Later today,Delivery mode=Standard,Split cost=Double parcel,"Audit log stores ETA source, customer note, and ship-mode decision.","The second item arrived in time, so the combined shipment was the lowest-cost acceptable choice.","The ETA check confirmed the same answer, but the pause consumed time without changing the best action.","The split shipment improved speed for one item, but the duplicated parcel work made it more expensive overall.",MED-risk AI-correct split/hold case for moderate ambiguity without actual AI error.,Order SH-9017 contains two items from different zones. One item is ready now; the second is expected at the pick face later today. AI recommends holding both items and shipping together in one parcel.,70,140,120,90,160,160,111
M13,main,13,Compliance,HIGH,SLA Contract,Irreversible,4,0,Type II,ALT2,Alternative,CP-9442,Regulated shipment needs a compliant path now,"Shipment CP-9442 contains a regulated battery accessory for a contract customer. AI recommends releasing it on the normal export path, but the classification note does not match the latest carrier acceptance rule. A compliant specialist carrier is available.","If the carton is tendered incorrectly, it can be held at the gateway, trigger legal review, and miss the contract window. A manual document check helps, yet the safer action is to move immediately to the compliant specialist path. Because the violation is effectively irreversible once tendered, the case is designed to make a decisive alternative override optimal.",AI recommends using the normal export path because it is the standard route and avoids the upfront cost of specialist handling.,Release on normal export path,Pause to verify classification and required documents,Switch to compliant specialist carrier now,100,140,150,520,200,100,620,340,250,250,340,90,0.36,1.36,Classification note mismatches carrier rule,Gateway hold would be effectively irreversible,Check the latest classification code and compliant-carrier rule before tender.,"This is the strongest traceability case: once tendered wrongly, the loss is difficult to reverse.","Standard routing looks cheaper upfront, but the compliance downside is extremely asymmetric.",Item class=Regulated battery,Carrier rule=Mismatch,Reversibility=Low,"Audit log stores rule version, classification evidence, and tender decision.","The normal path failed compliance screening, causing a gateway hold, contract miss, and legal review cost.","The document check identified the mismatch, but the delay still cost more than switching immediately to the compliant path.","The specialist carrier cleared the item correctly, so the higher direct cost still minimized total loss.",HIGH-risk AI-incorrect compliance case where Alternative is the oracle action and irreversibility matters most.,"Shipment CP-9442 contains a regulated battery accessory for a contract customer. AI recommends releasing it on the normal export path, but the classification note does not match the latest carrier acceptance rule. A compliant specialist carrier is available.",100,140,150,520,200,100,117
M14,main,14,Customer Service,LOW,Std B2C,Reversible,2,1,—,AI,Approve,CS-9725,Light proactive recovery on a repeat-buyer delay,Customer ticket CS-9725 relates to an order running about 2 hours late. AI recommends sending an apology message with a small coupon now rather than waiting for the customer to complain. The customer is a repeat buyer with no active escalation.,"Operations still expect same-evening delivery, so the service failure is mild. A larger goodwill gesture is possible, but would overcompensate a low-severity problem. The case is intentionally simple on the operational side and is meant to test whether participants mistrust AI even when the humane, lightweight option is best here.",AI recommends sending the apology and small coupon because a light proactive recovery is cheaper than handling a preventable complaint later.,Send apology and small coupon now,Pause to review complaint history and customer tier,Escalate to a larger goodwill offer,40,140,100,40,80,160,80,220,260,80,220,140,1.75,2.75,Repeat buyer but no active escalation,Delay is mild and same-evening delivery remains likely,Check the customer tier and any recent escalations in CRM.,"The downside is small here, so overreaction can become the main source of extra cost.",A lightweight recovery is enough for a mild delay on a stable customer account.,Delay≈2h,Customer=Repeat buyer,Escalation history=None,"Audit log stores CRM tier, offer size, and send timestamp.",The small proactive message resolved the issue cheaply and prevented an unnecessary support contact.,"The history review confirmed the same plan, but the extra checking added labor cost without improving the outcome.","The larger goodwill offer was accepted, yet it overcompensated a low-severity delay and raised total cost.",LOW-risk AI-correct customer-service case for generalized calibration beyond operational exceptions.,Customer ticket CS-9725 relates to an order running about 2 hours late. AI recommends sending an apology message with a small coupon now rather than waiting for the customer to complain. The customer is a repeat buyer with no active escalation.,40,140,100,40,80,160,112
